id,UNIVERSE,SYMBOL
534,NIFTY 500,UTIAMC
535,NIFTY 500,VAIBHAVGBL
536,NIFTY 500,VARROC
537,NIFTY 500,VGUARD
538,NIFTY 500,VIJAYA
539,NIFTY 500,VINATIORGA
540,NIFTY 500,VIPIND
541,NIFTY 500,VMART
542,NIFTY 500,VTL
543,NIFTY 500,WELCORP
544,NIFTY 500,WELSPUNLIV
545,NIFTY 500,WESTLIFE
546,NIFTY 500,WHIRLPOOL
547,NIFTY 500,ZENSARTECH
548,NIFTY 500,ZFCVINDIA
549,NIFTY 500,ZYDUSWELL
550,NIFTY NEXT 50,ABB
551,NIFTY NEXT 50,AMBUJACEM
552,NIFTY NEXT 50,BANKBARODA
553,NIFTY NEXT 50,BEL
554,NIFTY NEXT 50,BERGEPAINT
555,NIFTY NEXT 50,BOSCHLTD
556,NIFTY NEXT 50,CANBK
557,NIFTY NEXT 50,CHOLAFIN
558,NIFTY NEXT 50,COLPAL
559,NIFTY NEXT 50,DABUR
560,NIFTY NEXT 50,DLF
561,NIFTY NEXT 50,GAIL
562,NIFTY NEXT 50,GODREJCP
563,NIFTY NEXT 50,HAL
564,NIFTY NEXT 50,HAVELLS
565,NIFTY NEXT 50,ICICIGI
566,NIFTY NEXT 50,ICICIPRULI
567,NIFTY NEXT 50,INDIGO
568,NIFTY NEXT 50,IOC
569,NIFTY NEXT 50,IRCTC
570,NIFTY NEXT 50,JINDALSTEL
571,NIFTY NEXT 50,MARICO
572,NIFTY NEXT 50,MCDOWELL-N
573,NIFTY NEXT 50,MOTHERSON
574,NIFTY NEXT 50,MUTHOOTFIN
575,NIFTY NEXT 50,NAUKRI
576,NIFTY NEXT 50,PIDILITIND
577,NIFTY NEXT 50,PIIND
578,NIFTY NEXT 50,PNB
579,NIFTY NEXT 50,SBICARD
580,NIFTY NEXT 50,SHREECEM
581,NIFTY NEXT 50,SHRIRAMFIN
582,NIFTY NEXT 50,SIEMENS
583,NIFTY NEXT 50,SRF
584,NIFTY NEXT 50,TATAPOWER
585,NIFTY NEXT 50,TORNTPHARM
586,NIFTY NEXT 50,TRENT
587,NIFTY NEXT 50,TVSMOTOR
588,NIFTY NEXT 50,VEDL
589,NIFTY NEXT 50,ZYDUSLIFE
590,NIFTY NEXT 50,ADANIENSOL
591,NIFTY NEXT 50,ADANIGREEN
592,NIFTY NEXT 50,ATGL
593,NIFTY NEXT 50,AWL
594,NIFTY NEXT 50,BAJAJHLDNG
595,NIFTY NEXT 50,DMART
596,NIFTY NEXT 50,LICI
597,NIFTY NEXT 50,PGHH
598,NIFTY NEXT 50,VBL
599,NIFTY NEXT 50,ZOMATO
600,NIFTY MID-SMALL,ABCAPITAL
601,NIFTY MID-SMALL,ABFRL
602,NIFTY MID-SMALL,ACC
603,NIFTY MID-SMALL,ALKEM
604,NIFTY MID-SMALL,APOLLOTYRE
605,NIFTY MID-SMALL,ASHOKLEY
606,NIFTY MID-SMALL,ASTRAL
607,NIFTY MID-SMALL,AUBANK
608,NIFTY MID-SMALL,AUROPHARMA
609,NIFTY MID-SMALL,BALKRISIND
610,NIFTY MID-SMALL,BANDHANBNK
611,NIFTY MID-SMALL,BATAINDIA
612,NIFTY MID-SMALL,BHARATFORG
613,NIFTY MID-SMALL,BHEL
614,NIFTY MID-SMALL,BIOCON
